fuzz: elapsed: 0s, gathering baseline coverage: 0/4 completed
fuzz: elapsed: 0s, gathering baseline coverage: 4/4 completed, now fuzzing with 8 workers
fuzz: elapsed: 3s, execs: 325659 (108524/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 6s, execs: 652993 (109119/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 9s, execs: 920134 (89033/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 12s, execs: 1163351 (81078/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 15s, execs: 1418428 (85047/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 18s, execs: 1689072 (90215/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 21s, execs: 1949724 (86858/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 24s, execs: 2215169 (88499/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 27s, execs: 2487413 (90732/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 30s, execs: 2752957 (88537/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 33s, execs: 3009480 (85495/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 36s, execs: 3280237 (90249/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 39s, execs: 3539086 (86288/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 42s, execs: 3806822 (89244/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 45s, execs: 4081363 (91509/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 48s, execs: 4352991 (90507/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 51s, execs: 4629397 (92169/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 54s, execs: 4895255 (88631/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 57s, execs: 5144979 (83242/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m0s, execs: 5405736 (86895/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m3s, execs: 5676832 (90375/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m6s, execs: 5949703 (90962/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m9s, execs: 6211366 (87239/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m12s, execs: 6482331 (90306/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m15s, execs: 6732913 (83526/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m18s, execs: 7008342 (91825/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m21s, execs: 7278002 (89893/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m24s, execs: 7546222 (89396/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m27s, execs: 7820817 (91513/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m30s, execs: 8076186 (85143/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m33s, execs: 8351032 (91614/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m36s, execs: 8632071 (93654/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m39s, execs: 8906659 (91532/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m42s, execs: 9168616 (87346/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m45s, execs: 9455615 (95640/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m48s, execs: 9740982 (95124/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m51s, execs: 10028541 (95854/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m54s, execs: 10294807 (88765/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 1m57s, execs: 10576466 (93901/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 2m0s, execs: 10860850 (94770/sec), new interesting: 0 (total: 4)
fuzz: elapsed: 2m0s, execs: 10860850 (0/sec), new interesting: 0 (total: 4)
PASS
ok  	github.com/ethereum/go-ethereum/core/vm	120.115s
