xxx@xxx:~/$ radius2 -a 0x2036e6 -p /xxx/pcode-generator/tests/tinygo_too-large-channel-creation/tinygo_too-large-channel-creation --crash

xxx@xxx:~/$ radius2 -a 0x2036e6 -v -p /xxx/pcode-generator/tests/tinygo_too-large-channel-creation/tinygo_too-large-channel-creation --crash
0x002036e6      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x002036e7      call sym.main.chanMakePanic              |  2111200,rip,8,rsp,-=,rsp,=[8],rip,=
0x002036e0      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x002036e1      call sym.runtime.chanMakePanic           |  2110653,rip,8,rsp,-=,rsp,=[8],rip,=
0x002034bd      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x002034be      mov rdi, qword [rsp + 8]                 |  0x8,rsp,+,[8],rdi,=
0x002034c3      push 0x16                                |  22,8,rsp,-,=[8],8,rsp,-=
0x002034c5      pop rdx                                  |  rsp,[8],8,rsp,+=,rdx,=
0x002034c6      mov esi, obj.runtime_string.79           |  2097856,rsi,=
0x002034cb      call sym.runtime.runtimePanicAt          |  2109002,rip,8,rsp,-=,rsp,=[8],rip,=
0x00202e4a      push r15                                 |  r15,8,rsp,-,=[8],8,rsp,-=
0x00202e4c      push r14                                 |  r14,8,rsp,-,=[8],8,rsp,-=
0x00202e4e      push rbx                                 |  rbx,8,rsp,-,=[8],8,rsp,-=
0x00202e4f      mov rbx, rdx                             |  rdx,rbx,=
0x00202e52      mov r14, rsi                             |  rsi,r14,=
0x00202e55      mov r15, rdi                             |  rdi,r15,=
0x00202e58      push 0x18                                |  24,8,rsp,-,=[8],8,rsp,-=
0x00202e5a      pop rsi                                  |  rsp,[8],8,rsp,+=,rsi,=
0x00202e5b      mov edi, obj.runtime_string.106.llvm.9090001962702956764 |  2097881,rdi,=
0x00202e60      call sym.runtime.printstring.llvm.9090001962702956764 |  2109217,rip,8,rsp,-=,rsp,=[8],rip,=
0x00202f21      push r15                                 |  r15,8,rsp,-,=[8],8,rsp,-=
0x00202f23      push r14                                 |  r14,8,rsp,-,=[8],8,rsp,-=
0x00202f25      push rbx                                 |  rbx,8,rsp,-,=[8],8,rsp,-=
0x00202f26      mov rbx, rsi                             |  rsi,rbx,=
0x00202f29      mov r14, rdi                             |  rdi,r14,=
0x00202f2c      xor r15d, r15d                           |  r15d,r15,^,0xffffffff,&,r15,=,$z,zf,:=,$p,pf,:=,31,$s,sf,:=,0,cf,:=,0,of,:=
0x00202f2f      test rsi, rsi                            |  0,rsi,rsi,&,==,$z,zf,:=,$p,pf,:=,63,$s,sf,:=,0,cf,:=,0,of,:=
0x00202f32      cmovle rbx, r15                          |  zf,sf,of,^,|,?{,r15,rbx,=,}
0x00202f36      cmp rbx, r15                             |  r15,rbx,==,$z,zf,:=,64,$b,cf,:=,$p,pf,:=,63,$s,sf,:=,r15,0x8000000000000000,-,!,63,$o,^,of,:=,3,$b,af,:=
0x00202f39      je 0x202f4a                              |  zf,?{,2109258,rip,=,}
0x00202f3b      movzx edi, byte [r14 + r15]              |  r15,r14,+,[1],rdi,=
0x00202f40      call sym.runtime.putchar.llvm.9090001962702956764 |  2109383,rip,8,rsp,-=,rsp,=[8],rip,=
0x00202fc7      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x00202fc8      lea rsi, [rsp + 7]                       |  0x7,rsp,+,rsi,=
0x00202fcd      mov byte [rsi], dil                      |  dil,rsi,=[1]
0x00202fd0      push 1                                   |  1,8,rsp,-,=[8],8,rsp,-=
0x00202fd2      pop rdi                                  |  rsp,[8],8,rsp,+=,rdi,=
0x00202fd3      push 1                                   |  1,8,rsp,-,=[8],8,rsp,-=
0x00202fd5      pop rdx                                  |  rsp,[8],8,rsp,+=,rdx,=
0x00202fd6      call sym.write                           |  2107971,rip,8,rsp,-=,rsp,=[8],rip,=
0x00202a43      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x00202a44      mov rcx, rdx                             |  rdx,rcx,=
0x00202a47      mov rdx, rsi                             |  rsi,rdx,=
0x00202a4a      movsxd rsi, edi                          |  32,edi,~,rsi,=
0x00202a4d      and qword [rsp], 0                       |  0,rsp,&=[8],$z,zf,:=,$p,pf,:=,63,$s,sf,:=,0,cf,:=,0,of,:=
0x00202a52      push 1                                   |  1,8,rsp,-,=[8],8,rsp,-=
0x00202a54      pop rdi                                  |  rsp,[8],8,rsp,+=,rdi,=
0x00202a55      xor r8d, r8d                             |  r8d,r8,^,0xffffffff,&,r8,=,$z,zf,:=,$p,pf,:=,31,$s,sf,:=,0,cf,:=,0,of,:=
0x00202a58      xor r9d, r9d                             |  r9d,r9,^,0xffffffff,&,r9,=,$z,zf,:=,$p,pf,:=,31,$s,sf,:=,0,cf,:=,0,of,:=
0x00202a5b      call sym.__syscall_cp                    |  2108038,rip,8,rsp,-=,rsp,=[8],rip,=
0x00202a86      jmp sym.sccp                             |  0x202a69,rip,=
0x00202a69      mov r11, r9                              |  r9,r11,=
0x00202a6c      mov rax, rdi                             |  rdi,rax,=
0x00202a6f      mov r9, qword [rsp + 8]                  |  0x8,rsp,+,[8],r9,=
0x00202a74      mov rdi, rsi                             |  rsi,rdi,=
0x00202a77      mov rsi, rdx                             |  rdx,rsi,=
0x00202a7a      mov rdx, rcx                             |  rcx,rdx,=
0x00202a7d      mov r10, r8                              |  r8,r10,=
