xxx@xxx:~/$ radius2 -a 0x2040d4 -v -p /home/xxx/Documents/tools/pcode-generator/tests/additiongo-tinygo_ptr-deref/additiongo-tinygo_ptr-deref --crash
0x002040d4      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x002040d5      call sym.runtime.nilPanic                |  2112365,rip,8,rsp,-=,rsp,=[8],rip,=
0x00203b6d      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x00203b6e      mov rdi, qword [rsp + 8]                 |  0x8,rsp,+,[8],rdi,=
0x00203b73      push 0x17                                |  23,8,rsp,-,=[8],8,rsp,-=
0x00203b75      pop rdx                                  |  rsp,[8],8,rsp,+=,rdx,=
0x00203b76      mov esi, obj.runtime_string.73           |  2097847,rsi,=
0x00203b7b      call sym.runtime.runtimePanicAt          |  2110790,rip,8,rsp,-=,rsp,=[8],rip,=
0x00203546      push r15                                 |  r15,8,rsp,-,=[8],8,rsp,-=
0x00203548      push r14                                 |  r14,8,rsp,-,=[8],8,rsp,-=
0x0020354a      push rbx                                 |  rbx,8,rsp,-,=[8],8,rsp,-=
0x0020354b      mov rbx, rdx                             |  rdx,rbx,=
0x0020354e      mov r14, rsi                             |  rsi,r14,=
0x00203551      mov r15, rdi                             |  rdi,r15,=
0x00203554      push 0x18                                |  24,8,rsp,-,=[8],8,rsp,-=
0x00203556      pop rsi                                  |  rsp,[8],8,rsp,+=,rsi,=
0x00203557      mov edi, obj.runtime_string.106.llvm.11594978594701254684 |  2097909,rdi,=
0x0020355c      call sym.runtime.printstring.llvm.11594978594701254684 |  2111005,rip,8,rsp,-=,rsp,=[8],rip,=
0x0020361d      push r15                                 |  r15,8,rsp,-,=[8],8,rsp,-=
0x0020361f      push r14                                 |  r14,8,rsp,-,=[8],8,rsp,-=
0x00203621      push rbx                                 |  rbx,8,rsp,-,=[8],8,rsp,-=
0x00203622      mov rbx, rsi                             |  rsi,rbx,=
0x00203625      mov r14, rdi                             |  rdi,r14,=
0x00203628      xor r15d, r15d                           |  r15d,r15,^,0xffffffff,&,r15,=,$z,zf,:=,$p,pf,:=,31,$s,sf,:=,0,cf,:=,0,of,:=
0x0020362b      test rsi, rsi                            |  0,rsi,rsi,&,==,$z,zf,:=,$p,pf,:=,63,$s,sf,:=,0,cf,:=,0,of,:=
0x0020362e      cmovle rbx, r15                          |  zf,sf,of,^,|,?{,r15,rbx,=,}
0x00203632      cmp rbx, r15                             |  r15,rbx,==,$z,zf,:=,64,$b,cf,:=,$p,pf,:=,63,$s,sf,:=,r15,0x8000000000000000,-,!,63,$o,^,of,:=,3,$b,af,:=
0x00203635      je 0x203646                              |  zf,?{,2111046,rip,=,}
0x00203637      movzx edi, byte [r14 + r15]              |  r15,r14,+,[1],rdi,=
0x0020363c      call sym.runtime.putchar.llvm.11594978594701254684 |  2111171,rip,8,rsp,-=,rsp,=[8],rip,=
0x002036c3      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x002036c4      lea rsi, [rsp + 7]                       |  0x7,rsp,+,rsi,=
0x002036c9      mov byte [rsi], dil                      |  dil,rsi,=[1]
0x002036cc      push 1                                   |  1,8,rsp,-,=[8],8,rsp,-=
0x002036ce      pop rdi                                  |  rsp,[8],8,rsp,+=,rdi,=
0x002036cf      push 1                                   |  1,8,rsp,-,=[8],8,rsp,-=
0x002036d1      pop rdx                                  |  rsp,[8],8,rsp,+=,rdx,=
0x002036d2      call sym.write                           |  2109510,rip,8,rsp,-=,rsp,=[8],rip,=
0x00203046      push rax                                 |  rax,8,rsp,-,=[8],8,rsp,-=
0x00203047      mov rcx, rdx                             |  rdx,rcx,=
0x0020304a      mov rdx, rsi                             |  rsi,rdx,=
0x0020304d      movsxd rsi, edi                          |  32,edi,~,rsi,=
0x00203050      and qword [rsp], 0                       |  0,rsp,&=[8],$z,zf,:=,$p,pf,:=,63,$s,sf,:=,0,cf,:=,0,of,:=
0x00203055      push 1                                   |  1,8,rsp,-,=[8],8,rsp,-=
0x00203057      pop rdi                                  |  rsp,[8],8,rsp,+=,rdi,=
0x00203058      xor r8d, r8d                             |  r8d,r8,^,0xffffffff,&,r8,=,$z,zf,:=,$p,pf,:=,31,$s,sf,:=,0,cf,:=,0,of,:=
0x0020305b      xor r9d, r9d                             |  r9d,r9,^,0xffffffff,&,r9,=,$z,zf,:=,$p,pf,:=,31,$s,sf,:=,0,cf,:=,0,of,:=
0x0020305e      call sym.__syscall_cp                    |  2109577,rip,8,rsp,-=,rsp,=[8],rip,=
0x00203089      jmp sym.sccp                             |  0x20306c,rip,=
0x0020306c      mov r11, r9                              |  r9,r11,=
0x0020306f      mov rax, rdi                             |  rdi,rax,=
0x00203072      mov r9, qword [rsp + 8]                  |  0x8,rsp,+,[8],r9,=
0x00203077      mov rdi, rsi                             |  rsi,rdi,=
0x0020307a      mov rsi, rdx                             |  rdx,rsi,=
